1200000043;Abilene
1200000088;Adalia
1200000193;Alexandria
1200000292;Antioch
1200000327;Arabia
1200000331;Aram
1200000355;Areopagus
1200000371;Armageddon
1200000447;Assyria
1200000459;Athens
1200000530;Babylon
1200000694;Bethlehem
1200000754;Bithynia
1200000853;Caesarea
1200000870;Calvary
1200000874;Canaan
1200000885;Cappadocia
1200000917;Chaldea
1200000959;Chios
1200001010;Colossae
1200001038;Corinth
1200001100;Cyprus
1200001110;Dalmatia
1200001114;Damascus
1200001256;Eden
1200001274;Elam
1200001387;Ephesus
1200001438;Ethiopia
1200001594;Galatia
1200001598;Galilee
1200001622;Gaza
1200001736;Golan
1200001738;Golgotha
1200001741;Gomorrah
1200001949;Heaven
1200002168;India
1200002227;Israel
1200002234;Italy
1200002426;Jericho
1200002436;Jerusalem
1200002507;Joppa
1200002544;Judea
1200002705;Lebanon
1200002737;Libya
1200002796;Lycia
1200002798;Lydia
1200002875;Malta
1200002954;Medan
1200002976;Memphis
1200003016;Mesopotamia
1200003190;Nazareth
1200003261;Nineveh
1200003275;North
1200003300;Tyre
1200003301;Roman Empire
1200003366;Palestine
1200003377;Paradise
1200003443;Pergamum
1200003462;Philadelphia
1200003467;Philippi
1200003469;Philistia
1200003475;Phoenicia
1200003476;Phoenix
1200003477;Phrygia
1200003763;Rome
1200003800;Salem
1200003816;Samaria
1200003839;Sardis
1200004113;Sidon
1200004142;Sion
1200004166;Smyrna
1200004194;South
1200004198;Spain
1200004266;Susa
1200004284;Syracuse
1200004285;Syria
1200004379;Thessalonica
1200004498;Tyre
1200004518;Ur
1200004598;West
1200004740;Zion

